#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
default,1,,,,-1,,,,,
##,,,country/type,bb,bc,ca,cl,dd,tb,ss
##,,,austria,47,39,44,47,22,29,1
##,,,britain,90,50,65,200,508,119,23
##,,,france,59,41,68,67,125,47,191
##,,,germany,57,36,43,53,1,1,1
##,,,italy,147,53,64,77,76,47,189
##,,,japan,82,47,58,60,195,46,1
##,,,russia,63,36,45,51,151,48,64
##,,,spain,181,149,64,101,124,88,5
##,,,usa,53,45,53,97,756,202,15
##,,,china,115,115,44,89,110,1,1
##,,,,,,,,,,
###,,,special,,,,,,,
17,,$ D-%,austria,dd,,name / number,"wrong, same name as TB (T-%)?, as use names in list from list, until run out of names",https://en.wikipedia.org/wiki/Category:World_War_I_torpedo_boats_of_Austria-Hungary,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
18,,$ T-%,austria,tb,,name / number,"wrong, use names from list, until run out of names, or some have numbers",https://en.wikipedia.org/wiki/List_of_ships_of_the_Austro-Hungarian_Navy,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
19,,U-%,austria,ss,,number / number,"good: U-2 (U2- U-3 U-4), U-5 (U5 U-6 U-7) mixure",https://en.wikipedia.org/wiki/List_of_Austro-Hungarian_U-boats,"No name, just prefix. Example: ""U-10"".",U-%
20,0,names,britain,dd,,names,dd: ok,https://en.wikipedia.org/wiki/List_of_destroyer_classes_of_the_Royal_Navy,,
21,0,names,britain,tb,,names,tb: wrong?,https://en.wikipedia.org/wiki/List_of_torpedo_boat_classes_of_the_Royal_Navy,,
22,,$ E-%,britain,ss,,letter / letter+number,ss wrong (different letters for class),https://en.wikipedia.org/wiki/List_of_submarine_classes_of_the_Royal_Navy,"No name, just prefix. Example: E-10"".",E-%
23,0,names $ D-%,france,dd,,names,"wrong, use names?",https://en.wikipedia.org/wiki/List_of_destroyers_of_France,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
24,,$ T-%,france,tb,,name / number,no info?,?,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
25,,Q-%,france,ss,,names,"wrong, use names, plus (Q%) postfix",https://en.wikipedia.org/wiki/List_of_submarines_of_France,"Design gets a random name. All subordinate ships receive Q-# nbr. Example: ""NAME Q-10"".",$ Q-%
26,,V-%,germany,dd,,letter / letter+number,"wrong, varius prefix, plus restarting number",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"No name, just prefix. Example: ""Z10"".",Z-%
27,,S-%,germany,tb,,letter / letter+number,"wrong, different prefixes",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"Design gets name ""Type-#Year"". All subordinate ships receive T-# nbr. Example: ""Type-1928 T10"".",Type-& T-%
28,,U-%,germany,ss,,number / number,"ok global number, as austria-ss",https://en.wikipedia.org/wiki/List_of_U-boats_of_Germany,"No name, just prefix. Example: ""U-10"".",U-%
29,0,names,italy,dd,,names,dd: ok (names),https://en.wikipedia.org/wiki/List_of_destroyers_of_Italy,,
30,0,names $ TA-%,italy,tb,,names,tb: few info,?,"Design gets a random name. All subordinate ships receive TA-# nbr. Example: ""NAME TA-10"".",$ TA-%
31,, T-%,italy,ss,,,ss: few info,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Italy,"Design gets a random name. All subordinate ships receive F-# nbr. Example: ""NAME F-10"".",$ T-%
32,0,names,japan,dd,,names,,,,
33,0,names,japan,tb,,names,,,,
34,0,disabled Ha-%,japan,ss,1910,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ha-# nbr. Example: ""NAME Ha-10"".",$ Ha-%
35,0,disabled Ro-%,japan,ss,1925,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ro-# nbr. Example: ""NAME Ro-10"".",$ Ro-%
36,,I-%,japan,ss,,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive I-# nbr. Example: ""NAME I-10"".",$ I-%
37,0,names,russia,dd,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,,
38,0,names $ TK-%,russia,tb,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,"Design gets a random name. All subordinate ships receive ΤK-# nbr. Example: ""NAME TK-10"".",$ TK-%
39,0,names $ M-%,russia,ss,1905,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive M-# nbr. Example: ""NAME M-10"".",$ M-%
40,0,names $ S-%,russia,ss,1920,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive S-# nbr. Example: ""NAME S-10"".",$ S-%
41,,Π-%,russia,ss,,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive B-# nbr. Example: ""NAME B-10"".",$ Π-%
42,0,names $ D-%,spain,dd,,names,"wrong: contradiction, use names?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Destroyers,"Design gets a random name. All subordinate ships receive D-# nbr. Example: ""NAME D-10"".",$ D-%
43,0,names $ T-%,spain,tb,,names,"names for class, number for fleet ship?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Torpedo_boats,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
44,,S-%,spain,ss,,letter / letter+number,,,,$ S-%
45,0,A-%,spain,ss,1905,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: A-10"".",A-%
46,0,B-%,spain,ss,1920,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: ""B-10"".",B-%
47,0,C-%,spain,ss,,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix.  Example: C-10"".",C-%
48,0,names,usa,dd,,names,"dd: wrong, name for class, name+(DD-N) for fleet;",https://en.wikipedia.org/wiki/Category:World_War_I_destroyers_of_the_United_States,,
49,0,names $ TB-%,usa,tb,,names,"tb: wrong, name for class, name+(TB-N) for fleet",https://en.wikipedia.org/wiki/List_of_torpedo_boats_of_the_United_States_Navy,"Design gets a random name. All subordinate ships receive ΤΒ-# nbr. Example: ""NAME TB-10"".",$ TB-%
50,,SS-%,usa,ss,,letter / letter+number,"wrong, class name is letter, fleet name is X-N (local) (SS-N (global))",https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_the_United_States,"Design gets a random name. All subordinate ships receive SS-# nbr. Example: ""NAME SS-10"".",$ SS-%
51,,Y-%,china,tb,,,,,,$ Y-%
52,,Ch-%,china,ss,,,,,,$ Ch-%
###,,,austria,,,,,,,
54,,君主,austria,bb,,,,,,
55,,维也纳,austria,bb,,,,,,
56,,布达佩斯,austria,bb,,,,,,
57,,王储妃斯蒂芬妮,austria,bb,,,,,,
58,,鲁道夫王储,austria,bb,,,,,,
59,,哈布斯堡,austria,bb,,,,,,
60,,阿诺德,austria,bb,,,,,,
61,,巴贝贝格,austria,bb,,,,,,
62,,卡尔大公,austria,bb,,,,,,
63,,弗里德里希大公,austria,bb,,,,,,
64,,斐迪南德·马克斯大公,austria,bb,,,,,,
65,,弗朗茨·斐迪南大公,austria,bb,,,,,,
66,,拉德茨基,austria,bb,,,,,,
67,,兹林尼,austria,bb,,,,,,
68,,维里布斯·尤尼蒂斯,austria,bb,,,,,,
69,,特格特霍夫,austria,bb,,,,,,
70,,欧根亲王,austria,bb,,,,,,
71,,圣斯蒂芬,austria,bb,,,,,,
72,,君主,austria,bb,,,,,,
73,,路易波德,austria,bb,,,,,,
74,,海因里希,austria,bb,,,,,,
75,,阿达尔伯特,austria,bb,,,,,,
76,,恩斯特,austria,bb,,,,,,
77,,理查迪斯,austria,bb,,,,,,
78,,维尔茨堡,austria,bb,,,,,,
79,,尼德拉尔泰希,austria,bb,,,,,,
80,,波希米亚,austria,bb,,,,,,
81,,苏普林根堡,austria,bb,,,,,,
82,,齐格赖切,austria,bb,,,,,,
83,,斯塔克,austria,bb,,,,,,
84,,埃劳赫特,austria,bb,,,,,,
85,,舍纳,austria,bb,,,,,,
86,,海利格,austria,bb,,,,,,
87,,弗雷吉比格,austria,bb,,,,,,
88,,贾索米尔戈特,austria,bb,,,,,,
89,,图根德哈夫特,austria,bb,,,,,,
90,,格洛雷切,austria,bb,,,,,,
91,,斯特莱特巴雷,austria,bb,,,,,,
92,,鲁道夫,austria,bb,,,,,,
93,,阿尔伯特,austria,bb,,,,,,
94,,弗雷德里克,austria,bb,,,,,,
95,,奥托,austria,bb,,,,,,
96,,拉迪斯劳斯,austria,bb,,,,,,
97,,西吉斯蒙德,austria,bb,,,,,,
98,,马克西米利安,austria,bb,,,,,,
99,,弗朗西斯,austria,bb,,,,,,
100,,卡尔,austria,bb,,,,,,
101,,德拉奇,austria,bc,,,,,,
102,,蝾螈,austria,bc,,,,,,
103,,凯撒马克斯,austria,bc,,,,,,
104,,胡安·德·奥地利,austria,bc,,,,,,
105,,斐迪南德·马克斯大公,austria,bc,,,,,,
106,,利萨,austria,bc,,,,,,
107,,凯撒,austria,bc,,,,,,
108,,库斯托萨,austria,bc,,,,,,
109,,阿尔布雷奇特大公,austria,bc,,,,,,
110,,鲁道夫王储,austria,bc,,,,,,
111,,王储妃斯蒂芬妮,austria,bc,,,,,,
112,,朱庇特,austria,bc,,,,,,
113,,戈尔茨科夫斯基,austria,bc,,,,,,
114,,信使,austria,bc,,,,,,
115,,阿喀琉斯,austria,bc,,,,,,
116,,金牛座,austria,bc,,,,,,
117,,瓦肯,austria,bc,,,,,,
118,,圣卢西亚,austria,bc,,,,,,
119,,伏尔塔,austria,bc,,,,,,
120,,伊丽莎白女王,austria,bc,,,,,,
121,,亚得里亚,austria,bc,,,,,,
122,,多瑙河,austria,bc,,,,,,
123,,诺瓦拉,austria,bc,,,,,,
124,,施瓦岑贝格,austria,bc,,,,,,
125,,劳顿,austria,bc,,,,,,
126,,弗里德里希大公,austria,bc,,,,,,
127,,丹多洛,austria,bc,,,,,,
128,,塞达,austria,bc,,,,,,
129,,密涅瓦,austria,bc,,,,,,
130,,皮拉德斯,austria,bc,,,,,,
131,,波拉,austria,bc,,,,,,
132,,蒙特库科利,austria,bc,,,,,,
133,,骠骑兵,austria,bc,,,,,,
134,,阿特米西亚,austria,bc,,,,,,
135,,阿雷图萨,austria,bc,,,,,,
136,,单峰骆驼,austria,bc,,,,,,
137,,布拉沃,austria,bc,,,,,,
138,,忠实,austria,bc,,,,,,
139,,卡梅隆,austria,bc,,,,,,
140,,扎拉,austria,ca,,,,,,
141,,斯帕拉托,austria,ca,,,,,,
142,,希贝尼克,austria,ca,,,,,,
143,,卢辛,austria,ca,,,,,,
144,,黑豹,austria,ca,,,,,,
145,,猎豹,austria,ca,,,,,,
146,,虎,austria,ca,,,,,,
147,,弗朗茨·约瑟夫一世,austria,ca,,,,,,
148,,伊丽莎白女王,austria,ca,,,,,,
149,,皇后和王后玛丽亚·特蕾莎,austria,ca,,,,,,
150,,查理六世,austria,ca,,,,,,
151,,圣乔治,austria,ca,,,,,,
152,,赫尔戈兰,austria,ca,,,,,,
153,,布达佩斯,austria,ca,,,,,,
154,,德布勒森,austria,ca,,,,,,
155,,蒂罗尔,austria,ca,,,,,,
156,,施蒂利亚,austria,ca,,,,,,
157,,福拉尔贝格,austria,ca,,,,,,
158,,克恩顿,austria,ca,,,,,,
159,,利塞格德,austria,ca,,,,,,
160,,米斯科尔,austria,ca,,,,,,
161,,格拉茨,austria,ca,,,,,,
162,,林茨,austria,ca,,,,,,
163,,萨尔茨堡,austria,ca,,,,,,
164,,因斯布鲁克,austria,ca,,,,,,
165,,克拉根福,austria,ca,,,,,,
166,,维拉赫,austria,ca,,,,,,
167,,伟尔斯,austria,ca,,,,,,
168,,圣波尔滕,austria,ca,,,,,,
169,,多恩比恩,austria,ca,,,,,,
170,,维也纳-诺伊施塔特,austria,ca,,,,,,
171,,斯泰尔,austria,ca,,,,,,
172,,费尔德基希,austria,ca,,,,,,
173,,布雷根茨,austria,ca,,,,,,
174,,莱昂丁,austria,ca,,,,,,
175,,克洛斯特新堡,austria,ca,,,,,,
176,,沃尔夫斯堡,austria,ca,,,,,,
177,,莱奥本,austria,ca,,,,,,
178,,克雷姆斯,austria,ca,,,,,,
179,,特劳恩,austria,ca,,,,,,
180,,阿姆施泰滕,austria,ca,,,,,,
181,,卢斯滕瑙,austria,ca,,,,,,
182,,卡普芬贝格,austria,ca,,,,,,
183,,莫德林,austria,ca,,,,,,
184,,桑达,austria,cl,,,,,,
185,,阿斯佩恩,austria,cl,,,,,,
186,,西盖特瓦尔,austria,cl,,,,,,
187,,斯潘海军上将,austria,cl,,,,,,
188,,波拉,austria,cl,,,,,,
189,,特奥多,austria,cl,,,,,,
190,,流星,austria,cl,,,,,,
191,,闪电,austria,cl,,,,,,
192,,彗星,austria,cl,,,,,,
193,,行星,austria,cl,,,,,,
194,,特拉班特,austria,cl,,,,,,
195,,卫星,austria,cl,,,,,,
196,,马格内特,austria,cl,,,,,,
197,,福加斯,austria,cl,,,,,,
198,,威尔斯,austria,cl,,,,,,
199,,斯托尔,austria,cl,,,,,,
200,,法萨纳,austria,cl,,,,,,
201,,伽马,austria,cl,,,,,,
202,,兹林伊,austria,cl,,,,,,
203,,奥罗拉,austria,cl,,,,,,
204,,弗伦兹贝格,austria,cl,,,,,,
205,,马罗斯,austria,cl,,,,,,
206,,利莎,austria,cl,,,,,,
207,,柯罗斯,austria,cl,,,,,,
208,,索莫什河,austria,cl,,,,,,
209,,特梅斯,austria,cl,,,,,,
210,,博德罗格,austria,cl,,,,,,
211,,恩斯,austria,cl,,,,,,
212,,萨瓦河,austria,cl,,,,,,
213,,博斯纳,austria,cl,,,,,,
214,,哈莱因,austria,cl,,,,,,
215,,库夫施泰因,austria,cl,,,,,,
216,,特赖斯基兴,austria,cl,,,,,,
217,,施伟夏特,austria,cl,,,,,,
218,,施托克劳,austria,cl,,,,,,
219,,萨尔费尔登,austria,cl,,,,,,
220,,安斯费尔登,austria,cl,,,,,,
221,,图尔恩,austria,cl,,,,,,
222,,霍恩埃姆斯,austria,cl,,,,,,
223,,泰尔尼茨,austria,cl,,,,,,
224,,布卢登茨,austria,cl,,,,,,
225,,科尔新堡,austria,cl,,,,,,
226,,沃克拉布吕克,austria,cl,,,,,,
227,,巴德沃斯劳,austria,cl,,,,,,
228,,戈兹,austria,cl,,,,,,
229,,圣约翰,austria,cl,,,,,,
230,,圣安德鲁,austria,cl,,,,,,
231,,西科斯,austria,dd,,,,,,
232,,迪娜拉,austria,dd,,,,,,
233,,胡沙尔,austria,dd,,,,,,
234,,潘杜尔,austria,dd,,,,,,
235,,雷卡,austria,dd,,,,,,
